Rank_New,HDI_Cat,Country,HDI,Exp_Life,Exp_School,Mean_School,GNI,GNI_HDI,Rank_Old,Latitude,Longitude
23,VH,Slovenia,0.918,80.6904,17.65492058,12.80368042,39746.01987,10,23,46.1199444,14.8153333
25,VH,Austria,0.916,81.5797,16.00795937,12.25669003,53618.67138,-8,23,47.59397,14.12456
26,VH,United Arab Emirates,0.911,78.7104,15.71769047,12.69402981,62573.59181,-15,25,24.0002488,53.9994829
27,VH,Spain,0.905,83.01,17.91690063,10.60540009,38353.60164,10,27,39.3260685,-4.8379791
28,VH,France,0.903,82.4988,15.81206989,11.61005974,45937.05273,-2,28,46.603354,1.8883335
29,VH,Cyprus,0.896,81.2033,15.64826965,12.44017029,38188.42152,9,29,34.9174159,32.889902651331866
30,VH,Italy,0.895,82.8502,16.22678947,10.7401104,42839.51441,0,32,42.6384261,12.674297
31,VH,Estonia,0.89,77.1436,15.92895985,13.54843044,38048.26372,8,30,58.7523778,25.3319078
32,VH,Czechia,0.889,77.7283,16.21968079,12.86931038,38745.21386,4,30,49.7439047,15.3381061
33,VH,Greece,0.887,80.1106,20.02878952,11.40853024,29002.48545,17,33,43.2097838,-77.6930602
34,VH,Poland,0.876,76.4572,16.0271492,13.1647501,33033.96081,8,36,52.215933,19.134422
35,VH,Bahrain,0.875,78.7605,16.29755974,11.04658985,39497.24788,-1,35,26.0280409,50.55316820508136
35,VH,Lithuania,0.875,73.7201,16.28506088,13.49810028,37931.30359,5,34,55.3500003,23.7499997
35,VH,Saudi Arabia,0.875,76.936,16.13549042,11.31052971,46111.55135,-10,38,25.6242618,42.3528328
38,VH,Portugal,0.866,81.0443,16.87122917,9.575940132,33154.53343,3,39,39.6621648,-8.1353519
39,VH,Latvia,0.863,73.5786,16.20252991,13.25271988,32803.23423,4,37,56.8406494,24.7537645
40,VH,Andorra,0.858,80.3684,13.30023874,10.55511952,51166.62661,-19,45,42.5407167,1.5732033
40,VH,Croatia,0.858,77.5804,15.11209965,12.19108434,30132.28814,8,41,45.3658443,15.6575209
42,VH,Chile,0.855,78.9435,16.73130035,10.9349663,24563.24486,14,43,-31.7613365,-71.3187697
42,VH,Qatar,0.855,79.2716,12.63722038,9.99601145,87134.13469,-39,42,39.1074426,47.5061085
44,VH,San Marino,0.853,80.8786,12.26613998,10.80146027,52653.82534,-25,46,43.9458623,12.458306
45,VH,Slovakia,0.848,74.9101,14.51303959,12.91141987,30690.48552,1,40,48.7411522,19.4528646
46,VH,Hungary,0.846,74.5301,15.0336281,12.24958992,32789.01063,-2,44,41.9767629,-72.7789842
47,VH,Argentina,0.842,75.3899,17.8748703,11.14726927,20925.26814,17,47,-34.9964963,-64.9672817
48,VH,Türkiye,0.838,76.0324,18.3382206,8.63313961,31032.80106,-3,48,38.9597594,34.9249653
49,VH,Montenegro,0.832,76.3426,15.08160973,12.17648306,20838.80129,16,52,-12.6998188,-38.3260762
50,VH,Kuwait,0.831,78.6729,15.32443332,7.328022618,52919.76137,-32,54,29.3796532,47.9734174
51,VH,Brunei Darussalam,0.829,74.6424,13.95178032,9.18,64489.53954,-42,49,4.4137155,114.5653908
52,VH,Russian Federation,0.822,69.419,15.76636982,12.77428805,27166.30891,-1,49,64.6863136,97.7453061
53,VH,Romania,0.821,74.1847,14.22990036,11.27511978,30027.29131,-4,53,45.9852129,24.6859225
54,VH,Oman,0.816,72.5406,14.57349014,11.65404034,27054.32505,-2,51,42.2679001,26.9246399
55,VH,Bahamas,0.812,71.5983,12.89945,12.64192386,30486.18429,-8,58,24.7736546,-78.0000547
56,VH,Kazakhstan,0.811,69.3622,15.76500034,12.34756189,23942.81837,1,59,48.1012954,66.7780818
57,VH,Trinidad and Tobago,0.81,72.9709,14.53545292,11.61062419,23392.02084,1,56,10.7466905,-61.0840075
58,VH,Costa Rica,0.809,77.0232,16.54577065,8.804059982,19974.27358,8,57,9.536456900000001,-84.17566257468567
58,VH,Uruguay,0.809,75.4356,16.83259964,8.982549667,21268.88122,5,55,-32.8755548,-56.0201525
60,VH,Belarus,0.808,72.438,15.16996956,12.14358044,18848.96704,8,60,53.4250605,27.6971358
61,VH,Panama,0.805,76.2233,13.05787868,10.54059029,26956.83707,-8,67,8.559559,-81.1308434
62,VH,Malaysia,0.803,74.8839,13.34304047,10.64505959,26657.94355,-8,61,4.5693754,102.2656823
63,VH,Georgia,0.802,71.694,15.56851959,12.82221985,14664.16825,17,64,32.3293809,-83.1137366
